sample_id,label,source_dataset,label_type,latitude,longitude,acquisition_time,firms_observation_id,cloud_cover,industrial_distance_km,osm_industrial_type,bands,image_path,quality,notes
wf_sen2fire_0001,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.507109,23.86625,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0001.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_10.npz (176438 fire px)
wf_sen2fire_0002,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.500664,23.854141,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0002.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_11.npz (137486 fire px)
wf_sen2fire_0003,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.498711,23.860391,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0003.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_12.npz (143288 fire px)
wf_sen2fire_0004,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.497148,23.861953,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0004.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_13.npz (135394 fire px)
wf_sen2fire_0005,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.499492,23.859219,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0005.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_14.npz (155006 fire px)
wf_sen2fire_0006,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.493828,23.851602,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0006.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_15.npz (105605 fire px)
wf_sen2fire_0007,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.490703,23.830703,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0007.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_16.npz (19079 fire px)
wf_sen2fire_0008,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.470781,23.842422,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0008.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_17.npz (3340 fire px)
wf_sen2fire_0009,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.487773,23.893984,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0009.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_10_9.npz (28809 fire px)
wf_sen2fire_0010,WILDFIRE,SEN2FIRE,GROUND_TRUTH,38.471953,23.872695,2024-03-15T10:30:00Z,,8.0,,,"B02,B03,B04,B08,B11,B12",samples\wf_sen2fire_0010.npz,GOOD,Sen2Fire genuine wildfire: scene1/scene1/scene_1_patch_11_10.npz (8360 fire px)
